INT	STRING	STRING	STRING	STRING	STRING	STRING
32	我国共有多少个少数民族？	55	56	1	50	16
33	我国少数民族中人口最多的是？	壮族	白族	彝族	苗族	俄罗斯族
34	国际法庭设在哪个国家？	荷兰	捷克	哥本哈根	意大利	美国
35	联合国常任理事国共有多少个成员国？	5	4	6	3	8
36	美国自由女神像是哪一个国家的雕塑家的作品？	法国	英国	美国	中国	日本
37	清朝晚期，被今人誉为开眼看世界第一人的是谁？	林则徐	纪晓岚	和珅	乾隆	魏源
38	著名的亚欧间的海峡是？	土耳其海峡	白令海峡	台湾海峡	马六甲海峡	霍尔木兹海峡
39	爱国华侨陈嘉庚出资兴建的大学是哪一所？	厦门大学	海河大学	福建大学	中山大学	香港大学
40	天下第一书《兰亭集序》是哪一位古代书法家的杰作？	王羲之	怀素	颜真卿	柳公权	王献之
41	世界电影著名男影星阿兰·德隆是何国人？	法国	英国	美国	日本	意大利
42	世界是哪个国家拍摄电影最多？	印度	意大利	美国	日本	中国
43	联合国成立于何年？	1945	1949	1952	1941	1960
44	红军二万五千里长征开始于何年?	1934	1960	1927	1931	1941
45	中国最大的油田是哪一个大油田?	大庆油田	克拉玛依油田	秋明油田	胜利油田	西北油田
46	"山重水复疑无路，柳暗花明又一村"是谁的诗句？	陆游	徐霞客	李白	杜甫	苏轼
47	发射第一颗人造卫星的国家是？	苏联	意大利	美国	中国	英国
48	"打蛇打七寸"的七寸是指蛇的哪个部位？	心脏	嘴巴	尾巴	脖子	舌头
49	哪一种树被称为"活化石"？	银杏	梧桐	樱花	樟树	杨树
50	《黄河大合唱》的作曲者是？	冼星海	贺绿汀	马思聪	聂耳	黄自
51	哪个城市被称作"草原钢城"？	包头	呼和浩特	乌鲁木齐	赤峰	呼伦贝尔
52	世界最重要的IT高科技产业基地硅谷位于美国的哪个州？	加利福尼亚	德克萨斯	田纳西	北卡罗来纳	佛罗里达
53	河南出土的商代文物"司母戊鼎"是用什么材料制作的？	青铜	铁	铜	白银	黄金
54	工业革命的发祥地在哪个国家？	英国	法国	美国	荷兰	摩纳哥
55	世界上的"风车之国"是指？	荷兰	英国	德国	法国	捷克
56	被称为"书圣"的古代书法家为？	王羲之	怀素	张旭	颜真卿	柳公权
57	人体缺少哪种元素会造成甲状腺肿大？	碘	铁	锌	钙	维生素E
58	坦克是哪个国家发明的？	英国	美国	苏联	日本	德国
59	动物中视角最大的是?	鱼	蜥蜴	鸟	蛇	大象
60	世界上哪一种动物的寿命最长？	乌龟	企鹅	狗	猫	蟑螂
61	世界上最大的宫殿是	故宫	泰姬陵	白宫	克里姆林宫	白金汉宫
62	欧洲的哪个城市被世界公认为雾都？	伦敦	巴黎	曼彻斯特	牛津	哈佛
63	电影《变形金刚》中，与擎天柱作对的反派首领叫什么？	威震天	高达	大黄蜂	红蜘蛛	惊破天
64	西藏布达拉宫最初是松赞干布为了迎接谁而兴建的？	文成公主	太平公主	平阳公主	长平公主	咸宁公主
65	意大利有一座被活火山活埋的城市，叫什么？	庞贝	夏威夷	冰岛	黄石	里斯本
66	二战过后，审判法西斯的德国法庭在哪一个城市？	纽伦堡	汉堡	慕尼黑	新德兰	法兰克福
67	与刘德华，张学友，郭富城合称为香港四大天王的人是谁？	黎明	周杰伦	吴彦祖	梁朝伟	林子祥
68	歌词东方之珠，我的爱人中，东方之珠指的是哪座城市？	香港	上海	珠海	厦门	苏州
69	曹雪芹的《红楼梦》中，葬花的人是谁？	林黛玉	王熙凤	薛宝钗	晴雯	袭人
70	白娘子在端午节是因为喝了什么酒而现出了原形？	雄黄酒	茅台	五粮液	红酒	啤酒
71	吴承恩小说《西游记》当中，唐僧在哪条河收了沙和尚做徒弟？	流沙河	通天河	黄河	白河	漠河
72	金庸小说《倚天屠龙记》中，金毛狮王叫什么名字？	谢逊	杨逍	范瑶	殷天正	韦一笑
73	2010年南非足球世界杯，夺得冠军的是哪个国家的球队？	西班牙	阿根廷	葡萄牙	巴西	南非
74	有铁榔头一称的前中国排球女运动员是谁？	郎平	曹慧英	赖亚文	赵蕊蕊	李娜
75	苟利国家生死以，岂因祸福避趋之出自谁之口？	林则徐	徐志摩	郭沫若	曹雪芹	顾炎武
76	马可波罗是在哪个朝代来到中国的？	元	唐朝	清	明	宋朝
77	世界上有钢琴诗人之称的钢琴家是哪一位？	肖邦	李斯特	莫扎特	贝多芬	德沃夏克
78	广东话中的老豆是指普通话中的哪种称谓？	父亲、爸爸、老爸	哥哥	叔叔	弟弟	爷爷
79	姚明曾经在NBA（美国职业男子篮球联盟）为那一只队伍效力？	火箭	湖人	骑士	太阳	公牛
80	遥知兄弟登高处，遍插茱萸少一人，描述的是什么节日？	重阳节	元宵节	中秋节	端午节	春节
81	标准中国象棋中，一共有多少个棋子？	32	64	20	66	36
82	考拉，又叫做树袋熊，是哪个国家的国宝动物？	澳大利亚	新西兰	所罗门群岛	危地马拉	匈牙利
83	以莫须有罪名毒害了名将岳飞的奸臣是谁？	秦侩	和珅	严嵩	张邦昌	贾似道
84	人有它大，天没它大，猜一个字。	一	天	人	地	大
85	刘备和张飞被曹操击败后失散，曹操收复徐州，进而进攻下邳。程昱设计调关公出城将其困在土山之上，____亲自上山晓以利害，将其招降。	张辽	曹操	刘备	诸葛亮	赵云
86	什么样的游戏日常行为能结交到更多的朋友？	文明交流	刷屏骂人	恶意PK	倒卖东西	刷怪抢怪
87	早穿皮袄午穿纱，围着火炉吃西瓜是描述气温的：	日变化	四季变化	天热中暑	冬天冻人	昼长夜短
88	名著《基督山伯爵》的作者是：	大仲马	马克·吐温	莎士比亚	爱伦坡	柯南道尔
89	奥运会多少年举行一次？	四年	十年	五年	两年	三年
90	《高卢战记》是谁的著作？	凯撒	尼禄	屋大维	卡里古拉	罗穆路斯
91	烤乳猪是哪个菜系的代表菜？	粤菜	湘菜	川菜	鲁菜	东北菜
92	古典小说《水浒传》的作者是：	施耐庵	罗贯中	吴承恩	宋江	李白
93	首次在亚洲点燃奥运圣火的是哪一届奥运会？	18届	19届	20届	1届	8届
94	在地面上，普通人若不运动，每天至少需要多少水？	一公升	一杯	一斤	600毫升	一桶
95	下列食物的搭配,容易引起耳聋的是？	豆腐+蜂蜜	菠菜+豆腐	西红柿+鸡蛋	茄子+豆角	螃蟹+西瓜
96	乌台诗案的受害人是：	苏轼	辛弃疾	李清照	刘禹锡	李煜
97	世界上第一颗爆炸的原子弹的名字是？	瘦子	胖子	小男孩	小女孩	男人
98	下列不是莎士比亚的作品的是：	《茶花女》	《李尔王》	《哈姆雷特》	《麦克白》	《奥赛罗》
99	郭沫若的诗集有：	《女神》	《男神》	《子夜》	《呐喊》	《朝花夕拾》
100	《体育颂》的作者是：	顾拜旦	菲迪皮茨	萨马兰奇	维凯拉斯	巴赫
101	我住长江头，君住长江尾，夜夜思君不见君，共饮长江水是谁的词？	李之仪	李煜	李贺	李清照	李白
102	北京申奥,万众一心。请问,谁是北京申奥的第一位形象大使？	成龙	李连杰	杨澜	周润发	邓亚萍
103	经常食用哪种食物容易引起铅中毒？	松花蛋	飞鱼籽	炒鸡蛋	蟹黄	咸鸭蛋
104	天下兴亡，匹夫有责是谁提出的？	顾炎武	文天祥	章太炎	汪国真	韦小宝
105	杯酒释兵权的故事发生在：	宋朝	汉朝	唐朝	元朝	清朝
106	我们所吃包子、馒头的来历与下面哪一历史有关？	七擒孟获	三打白骨精	六出祁山	三英战吕布	九伐中原
107	一代伟人孙中山于哪一年病逝于北京？	1925	1932	1921	1945	1927
108	世界四大洋中面积最小的是：	北冰洋	太平洋	印度洋	大西洋	南冰洋
109	一般来说人的身高在一天中的什么时候最高？	早上	晚上	中午	凌晨	傍晚
110	2008北京残奥会的吉祥物是？	福牛乐乐	福娃贝贝	熊猫晶晶	海宝	喜羊羊
111	埃菲尔铁塔是以什么命名的？	设计者名字	赞助者名字	国家总统	品牌代言人	明星
112	世界部分首都是以人名命名的，下列哪个不是：	莫斯科	华盛顿	圣地亚哥	惠灵顿	乔治敦
113	以___为主题，奥运永恒不灭的火焰将穿越喜马拉雅山脉，到达世界最高峰——珠穆朗玛峰，从而引领奥运圣火到达一个前所未有的高度。	共享和平，共享奥运	同一个世界，同一个梦想	更高，更快，更强	Just do it	一切皆有可能
114	我国第一位女留学生金雅梅当时留学于何国？	美国	德国	韩国	日本	英国
115	在《天龙八部》中，种生死符需要的材料是？	冰片	薄荷	山药	砒霜	灵芝
116	南非世界杯半决赛中西班牙与德国的对战中进了几个球？	1个	3个	4个	0个	2个
117	被列宁称为中国十一世纪最伟大的改革家是？	王安石	司马光	王守仁	张居正	商鞅
118	《四世同堂》为我国著名作家老舍先生所著。该书创作于20世纪多少年代？	40	50	60	70	30
119	中国第一个获得奥运会金牌的男运动员是谁？	许海峰	王义夫	曾国强	张继科	蔡振华
120	从垂直方向上看有较完整自然带的山脉是：	乞力马扎罗山脉	阿尔卑斯山脉	石景山	喜马拉雅山脉	秦岭
121	珍珠翡翠白玉汤是：	传统相声	小品	杂技	菜名	曲牌名
122	强风是风力几级的风？	6级	4级	2级	8级	9级
123	我国唯一注入北冰洋的河流是：	额尔齐斯河	湄公河	黄河	黑龙江	长江
124	承德避暑山庄是规模宏大的皇家园林，建于1703—1792年。它位于我国哪个省？	河北	山西	山东	湖南	河南
125	泥鳅钻豆腐的传说与哪一位美人有关？	貂蝉	西施	王昭君	杨贵妃	妲己
126	2008年北京奥运会男子足球冠军是：	阿根廷	巴西	英格兰	荷兰	德国
127	曹操晚年，威福日盛。文臣____看准时机，领衔上表劝其进任魏公，加九锡，但曹操最得力的谋臣荀彧坚决反对，并因此病逝。	董昭	董卓	董承	贾诩	刘晔
128	重要的在于参与是在哪一年的奥运会上开始提出的？	1908年	2008年	1984年	2000年	1900年
129	残疾人奥林匹克运动会这一称谓，在哪一年得到国际奥委会的正式批准？	1984年	1998年	2008年	1996年	1988年
130	地中海气候区的雨季通常在：	冬季	春季	夏季	秋季	四季
131	古人主要是利用物理学中的什么原理建成金字塔的？	杠杆原理	抽屉原理	勾股定理	牛顿定理	毕达哥拉斯定理
132	影片《魂断蓝桥》的主要背景是：	第一次世界大战	第二次世界大战	美国内战	阿富汗战争	鸦片战争
133	世界上最好的咖啡产于？	牙买加	巴西	智利	中国	英国
134	第一届亚洲运动会有几大类比赛项目？	6	5	4	8	10
135	第八届奥运会主办国家是？	法国	美国	中国	英国	德国
136	奥林匹克日是哪一天？	6月23日	8月8日	5月1日	6月1日	5月20日
137	我国的四大名鱼之一的鲈鱼产于哪里？	松江	湘江	嘉陵江	岷江	珠江
138	下列常见蔬菜哪种不是属于十字花科？	芹菜	萝卜	油菜	青菜	大白菜
139	第二十一届奥运会主办国家是？	加拿大	澳大利亚	新西兰	埃及	几内亚
140	下列食物中，曾经被作为成吉思汗大军的军粮的是哪个？	牛肉干	猪肉干	马肉干	大豆	高粱
141	太阳在哪一天离地球最远？	冬至	夏至	春分	秋分	立冬
142	第九届奥运会主办国家是？	荷兰	奥地利	捷克	韩国	中国
143	获得南非世界杯冠军的西班牙队是世界杯史上第几支夺冠的球队？	8	4	2	3	6
144	《马可·波罗游记》是马可·波罗在哪里写成的？	在牢中	在山上	在沙漠	在水里	在宫里
145	奥运会是从哪届开始设立金牌的？	3	5	1	2	10
146	我国的冰城是指哪一城市？	哈尔滨	佳木斯	长春	吉林	漠河
147	第十七届奥运会主办国家是？	意大利	英国	中国	法国	比利时
148	一天中什么时候最冷？	日出前后	正午时分	凌晨两点	傍晚黄昏	下午三点
149	庄子是哪个学派的代表？	道家	儒家	法家	作家	墨家
150	齐宣王最爱听多少人吹竽？	300	200	250	220	180
151	贯穿南北的京杭大运河是哪个朝代修建的？	隋朝	唐朝	明朝	清朝	宋朝
152	日食只可能发生在农历的什么日？	朔日	望日	晦日	初日	春日
153	人体内含有染色体数为：	23对	22对	25对	46对	30对
154	红娘由来是出自下列哪部古典名剧：	《西厢记》	《红楼梦》	《封神演义》	《牡丹亭》	《桃花扇》
155	茶叶分为绿茶、红茶、乌龙茶的依据是什么？	制作工艺	茶叶种类	茶叶颜色	产地	味道
156	过五关斩六将的是《三国演义》中的	关羽	张飞	赵云	诸葛亮	吕布
157	跨栏跑起源于17到18世纪的哪个国家？	英国	法国	 美国	新西兰	刚果
158	下列哪个是苏格兰乐器？	风笛	钢琴	小提琴	长笛	小号
159	传统中正月十五人们吃什么来庆祝？	元宵	月饼	粽子	饺子	馒头
160	中日甲午战争爆发于？	1894年	1884年	1908年	1840年	1945年
161	规模最小的奥运会是哪一届？	3	2	5	4	1
162	世界上哪个国家的人最忌蓝色？	比利时	中国	日本	韩国	西班牙
163	现在的中学生都喜欢看侦察小说，那《福尔摩斯探案集》是谁的作品呢？	柯南道尔	东野圭吾	阿加莎·克里斯蒂	爱伦坡	青山刚昌
164	下列哪一座寺院位于南京市？	栖霞寺	天宁寺	法源寺	少林寺	普陀寺
165	NBA哪只球队获得总冠军最多？	凯尔特人	公牛	湖人	黄蜂	火箭
166	著名的童话作家安徒生是哪国人？	丹麦	英国	瑞典	瑞士	法国
167	《道德经》的作者是？	老子	孟子	庄子	孔子	道子
168	巴西在哪一年第一次获得世界杯男子足球赛的冠军？	1958	1954	1966	1978	1950
169	残奥会和奥运会需要在相同的城市举行，是在哪一年做出的新规定？	1988年	1984	1980	2000	2008
170	袁曹大战之初，袁绍军依审配计策，造土山，居高临下射杀曹营。曹操的谋士刘晔献计，制造____，大破袁军。	发石车	连弩	连环马	斩马刀	坦克
171	世界上第一部长篇小说《源氏物语》出自哪个国家？	日本	中国	韩国	朝鲜	越南
172	跬步千里中跬步指：	半步	一米	一步	一千米	一千步
173	黄山四绝中尤以什么最为著名？	奇松	温泉	怪石	云海	人
174	世界上最大的岛是哪个岛？	格陵兰岛	海南岛	冰岛	马达加斯加岛	夏威夷岛
175	太阳的主要化学成份？	氢	氧	水	二氧化碳	氦
176	第二十七届奥运会主办国家是？	澳大利亚	巴西	葡萄牙	西班牙	新西兰
177	现代奥运史上首位非洲女子冠军迪拉图·吐露是哪国人？	埃塞俄比亚	几内亚	刚果	赞比亚	南非
178	首次利用卫星传递奥运圣火的是第几届奥运会？	第21届	第20届	第19届	第18届	第15届
179	秦始皇死后，谁即位成为秦二世？	胡亥	陈胜	吴广	扶苏	项羽
180	下面出现在《三国演义》的武将里谁不是吕布的手下？	高览	曹性	魏续	宋宪	高顺
181	这是个人的一小步，却是人类的一大步是谁说的？	阿姆斯特朗	杨利伟	迈克尔柯林斯	奥尔德林	翟志刚
182	我国科幻小说家刘慈欣哪一部小说获得了雨果奖？	《三体》	《中国太阳》	《球状闪电》	《朝闻道》	《赡养人类》
183	国内女团组合SNH48名称里的SNH指的是哪个城市？	上海	北京	广州	沈阳	重庆
184	我国最大的佛像在哪座城市	乐山	敦煌	香港	北京	澳门
185	奥运会是从哪届开始设立金牌的？	3	1	10	8	2
186	我国的冰城是指哪一城市？	哈尔滨	吉林	漠河	佳木斯	齐齐哈尔
187	第十七届奥运会主办国家是？	意大利	奥地利	法国	新加坡	中国
188	一天中什么时候最冷？	日出前后	正午时分	凌晨	日落前后	早上三点
189	庄子是哪个学派的代表？	道家	法家	发明家	如家	儒家
190	齐宣王最爱听多少人吹竽？	300	1	3	10	998
191	2008年北京奥运会男子足球冠军是？	阿根廷	巴西	日本	美国	中国
192	电影《刘三姐》反映什么民族的生活故事？	壮族	白族	黎族	彝族	苗族
193	周杰伦的专辑叶惠美中，叶惠美是周杰伦的什么人？	母亲	姐姐	女儿	妻子	妹妹
194	位于香港的亚洲第一大海港叫什么？	维多利亚	维吾尔族	伊丽莎白	玛格丽特	阿尔伯特
195	壁虎在遇到敌人攻击，很危险的情况下会舍弃身体的什么部分逃走？	尾巴	四肢	头	舌头	皮
196	世界上现存最大的两栖动物，因叫声很像幼儿哭声又名什么鱼？	娃娃鱼	金枪鱼	三文鱼	鲸鱼	金鱼
197	曾饰演许文强，小马哥，赌神，等经典角色的香港男影星是谁？	周润发	狄龙	姜大卫	梁朝伟	刘德华
198	人们通常用来送花的蓝色妖姬其实是什么花？	玫瑰	月季	菊花	牡丹	桃花
199	一些轿车车身后面有1.61.82.9等阿拉伯数字这是指发动机的什么？	排量	耗油	出产日期	速度	重量
200	有草地，红土，硬地三种比赛场地的比赛项目是？	网球	乒乓球	羽毛球	足球	篮球
201	歌唱家宋祖英是哪个少数民族的人？	苗族	白族	壮族	高山族	彝族
202	末代皇帝溥仪年号是？	宣统	嘉庆	乾隆	光绪	咸丰
203	封建社会，男女双方解除婚约，男方出具的书面证明叫什么？	休书	离婚证明	借条	白条	家书
204	古代说女孩年方二八是指多大岁数？	16	28	18	14	20
205	贾宝玉说男人是泥做的骨肉，女人是什么做的骨肉？	水	火	土	树	花
206	奥运会篮球比赛规则中，正常犯规几次就要被罚出场？	5	4	3	6	8
207	按汉朝制度，半斤等于多少两？	8	6	5	3	2
208	中华老字号张小泉剪刀的原产地是我国的哪个省？	浙江	江苏	江西	山东	安徽
209	名著《水浒传》中倒拔垂杨柳的主要人物是谁？	鲁智深	松江	李逵	武松	林冲
210	名著《三国演义》中，刘备的五虎上将里最后病逝名将是哪一位？	赵云	马超	黄忠	魏延	关羽
211	在解放隆化的战争中，哪位战斗英雄舍身炸碉堡？	董存瑞	黄继光	罗盛教	邱少云	雷锋
212	头戴民族花帽，倒骑毛驴，为老百姓伸张正义的维吾尔族传说人物是谁？	阿凡提	买买提	巴依老爷	艾买提	阿卜杜
213	北京奥运会开幕式上中国代表团的主旗手是谁？	姚明	张继科	刘翔	孙杨	林丹
214	会当凌绝顶，一览众山小说的是我国的哪座名山？	泰山	华山	长白山	衡山	崂山
215	骡子是马跟什么动物的杂交？	驴	鹿	羊	狼	狗
216	足球比赛中的帽子戏法是指一名球员一场比赛进几个球？	3	2	4	1	5
217	小犬在我国古代被用来称呼自己的什么亲属？	儿子	侄子	外甥	弟弟	孙子
218	我国古代有文武财神之说，请问武财神相传是三国里的哪位人物？	关羽	赵公明	吕布	杨戬	孙悟空
219	一具标准成年人的骨骼有多少块？	206	202	198	222	306
220	我们俗称的季度，按时间划分几个月为一个季度？	3	4	2	1	6
221	美国著名的国家公园，也是世界上第一个国家公园的是哪一座？	黄石	大峡谷	科罗拉多	纽约中央公园	大雾山
222	足球比赛中的板凳球员是什么意思？	替补	首发	前锋	门将	后卫
223	郎中本是官名，从宋代开始郎中是对从事什么职业的人的尊称？	医生	县官	商人	狱卒	厨子
224	古代四大美男之一，屈原的徒弟叫什么名字？	宋玉	潘安	兰陵王	龙阳君	嵇康
225	老舍的名著《骆驼祥子》中祥子的老婆叫什么名字？	虎妞	春妞	陈圆圆	王昭君	西施
226	庄子的《逍遥游》中讲到，北冥有鱼其名为什么？	鲲	鹏	鱼	鲸	鲨
227	我国的哪个邻国的首都是伊斯兰堡？	巴基斯坦	哈萨克斯坦	乌兹别克斯坦	印度	老挝
228	不入虎穴，不得虎子最早是哪位弃笔从戎的汉朝使臣说的？	班超	窦固	卫青	霍去病	马援
229	曹操曾说：马儿不死，吾无葬地也，其中马儿指的是后来的哪位蜀国大将？	马超	马腾	马化腾	马云	司马懿
230	明月几时有，把酒问青天这首词指的是哪个传统节日？	中秋节	元宵节	端午节	春节	重阳节
231	电视剧《仙剑奇侠传》中李逍遥的扮演者是？	胡歌	杨洋	王俊凯	李易峰	吴亦凡
232	我是在等待一个女孩，还是在等待沉沦苦海是出自刘德华哪首歌的歌词？	冰雨	笨小孩	天意	忘情水	17岁
233	清朝慈禧时期，原名李金喜被称作小李子的总管太监的是哪一位？	李莲英	李逍遥	李自成	李世民	里昂那多
234	欧洲人至今称为桌上的网球的体育项目是？	乒乓球	斯诺克	羽毛球	实况足球	炉石传说
235	让我们红尘作伴的下一句是？	活的潇潇洒洒	策马奔腾	只是一场意外	爱你不嫌多	为什么这样子
236	《蒙娜丽莎》这幅经典画作现收藏于哪个博物馆？	卢浮宫	故宫	克里姆林宫	白金汉宫	白宫
237	韩语撒浪嘿呦在中文表示什么意思？	我爱你	你好	再见	对不起	早上好
238	情人节时情侣间通常送哪种甜食来表达爱意？	巧克力	布丁	元宵	榴莲	奶茶
